"filename", "language", "JSON with Comments", "Properties", "compressionTargetFile", "comment", "blank", "total"
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\matterials\wires.png", "compressionTargetFile", 0, 0, 43, 0, 0, 43
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\matterials\wires.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\fluff\Megacorp1.png", "compressionTargetFile", 0, 0, 77, 0, 8, 85
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\fluff\Megacorp1.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\fluff\Megacorp2.png", "compressionTargetFile", 0, 0, 75, 0, 2, 77
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\fluff\Megacorp2.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\panicroom.PNG.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\Hero Banner.png", "compressionTargetFile", 0, 0, 14643, 0, 80, 14723
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\Hero Banner.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\five_VSCode.PNG.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\five_kit.PNG.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\four_atlas.PNG.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\one_nature.PNG.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\one_sercure.PNG.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\three_kitcat\Armor.png", "compressionTargetFile", 0, 0, 49, 0, 0, 49
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\three_kitcat\Armor.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\three_kitcat\Cyberware.png", "compressionTargetFile", 0, 0, 48, 0, 0, 48
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\three_kitcat\Cyberware.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\three_kitcat\Drones.png", "compressionTargetFile", 0, 0, 52, 0, 0, 52
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\three_kitcat\Drones.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\three_kitcat\Gun.png", "compressionTargetFile", 0, 0, 48, 0, 0, 48
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\three_kitcat\Gun.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\three_kitcat\Hacks.png", "compressionTargetFile", 0, 0, 53, 0, 0, 53
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\three_kitcat\Hacks.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\three_kitcat\Infusion.png", "compressionTargetFile", 0, 0, 52, 0, 0, 52
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\three_kitcat\Infusion.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\three_kitcat\Meele.png", "compressionTargetFile", 0, 0, 54, 0, 0, 54
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\three_kitcat\Meele.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\three_kitcat\Rite.png", "compressionTargetFile", 0, 0, 53, 0, 0, 53
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\three_kitcat\Rite.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\three_kitcat\Spell.png", "compressionTargetFile", 0, 0, 54, 0, 1, 55
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Website\images\about\three_kitcat\Spell.png.import", "Properties", 0, 29, 0, 0, 6, 35
